Mes;Beneficio;Leche_Entera;Leche_Deslactosada;Mantequilla;Leche_Baja_en_grasa;Queso;Yogurt
ene04;$ 11,64;$ 10,97;$ 11,61;$ 1,43;$ 0,84;$ 7,00;$ 6,82
feb04;$ 12,25;$ 12,21;$ 11,89;$ 1,71;$ 0,84;$ 6,00;$ 7,13
mar04;$ 14,31;$ 14,10;$ 14,49;$ 2,14;$ 0,85;$ 5,00;$ 8,16
abr04;$ 17,04;$ 14,57;$ 19,66;$ 2,22;$ 0,88;$ 7,00;$ 9,52
may04;$ 17,29;$ 14,50;$ 20,58;$ 2,04;$ 0,91;$ 8,00;$ 9,65
jun04;$ 16,14;$ 13,72;$ 17,68;$ 1,93;$ 0,92;$ 8,00;$ 9,07
jul04;$ 13,68;$ 13,31;$ 14,85;$ 1,75;$ 0,92;$ 8,00;$ 7,84
ago04;$ 13,44;$ 12,46;$ 14,04;$ 1,54;$ 0,88;$ 7,00;$ 7,72
sep04;$ 14,03;$ 13,00;$ 14,72;$ 1,77;$ 0,87;$ 9,00;$ 8,02
oct04;$ 13,67;$ 12,81;$ 14,16;$ 1,65;$ 0,87;$ 8,00;$ 7,84
nov04;$ 14,84;$ 13,34;$ 14,89;$ 1,92;$ 0,89;$ 4,00;$ 8,42
dic04;$ 14,82;$ 13,42;$ 16,14;$ 1,71;$ 0,89;$ 9,00;$ 8,41
ene05;$ 14,43;$ 12,52;$ 14,14;$ 1,58;$ 0,92;$ 8,00;$ 8,22
feb05;$ 13,87;$ 12,74;$ 14,70;$ 1,61;$ 0,95;$ 5,00;$ 7,94
mar05;$ 13,82;$ 12,66;$ 14,08;$ 1,55;$ 0,96;$ 4,00;$ 7,91
abr05;$ 13,87;$ 12,61;$ 14,61;$ 1,49;$ 0,97;$ 7,00;$ 7,94
may05;$ 13,07;$ 12,20;$ 13,77;$ 1,40;$ 0,98;$ 9,00;$ 7,54
jun05;$ 13,01;$ 12,33;$ 13,92;$ 1,53;$ 0,98;$ 4,00;$ 7,51
jul05;$ 13,42;$ 13,17;$ 14,35;$ 1,62;$ 0,98;$ 9,00;$ 7,71
ago05;$ 12,75;$ 13,44;$ 13,60;$ 1,69;$ 1,00;$ 8,00;$ 7,38
sep05;$ 13,49;$ 13,75;$ 14,30;$ 1,70;$ 1,02;$ 7,00;$ 7,75
oct05;$ 13,55;$ 13,61;$ 14,35;$ 1,62;$ 1,03;$ 5,00;$ 7,78
nov05;$ 12,91;$ 12,90;$ 13,35;$ 1,43;$ 1,06;$ 5,00;$ 7,46
dic05;$ 13,13;$ 12,57;$ 13,37;$ 1,36;$ 1,06;$ 7,00;$ 7,57
ene06;$ 12,93;$ 12,20;$ 13,39;$ 1,34;$ 1,01;$ 4,00;$ 7,47
feb06;$ 11,62;$ 11,10;$ 12,20;$ 1,19;$ 0,93;$ 8,00;$ 6,81
mar06;$ 10,99;$ 10,68;$ 11,11;$ 1,17;$ 0,88;$ 6,00;$ 6,50
abr06;$ 10,51;$ 10,36;$ 10,93;$ 1,16;$ 0,86;$ 9,00;$ 6,26
may06;$ 10,20;$ 10,33;$ 10,83;$ 1,18;$ 0,85;$ 5,00;$ 6,10
jun06;$ 10,23;$ 10,22;$ 11,29;$ 1,16;$ 0,85;$ 6,00;$ 6,12
jul06;$ 10,00;$ 10,21;$ 10,92;$ 1,16;$ 0,87;$ 5,00;$ 6,00
ago06;$ 10,49;$ 10,64;$ 11,06;$ 1,30;$ 0,95;$ 6,00;$ 6,25
sep06;$ 11,30;$ 11,10;$ 12,29;$ 1,32;$ 1,03;$ 8,00;$ 6,65
oct06;$ 11,54;$ 11,51;$ 12,32;$ 1,32;$ 1,23;$ 8,00;$ 6,77
nov06;$ 11,82;$ 12,11;$ 12,84;$ 1,29;$ 1,52;$ 6,00;$ 6,91
dic06;$ 12,13;$ 12,30;$ 13,47;$ 1,24;$ 1,33;$ 9,00;$ 7,07
ene07;$ 12,30;$ 12,53;$ 13,56;$ 1,22;$ 1,29;$ 9,00;$ 7,15
feb07;$ 13,00;$ 12,71;$ 14,18;$ 1,22;$ 1,30;$ 5,00;$ 7,50
mar07;$ 13,79;$ 13,71;$ 15,09;$ 1,32;$ 1,43;$ 8,00;$ 7,90
abr07;$ 14,55;$ 16,12;$ 16,09;$ 1,37;$ 1,64;$ 6,00;$ 8,28
may07;$ 16,34;$ 18,48;$ 17,60;$ 1,48;$ 1,95;$ 9,00;$ 9,17
